,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,0,1,1,0,1,0,0,0,0.0,-42.56999999999999,1588
1,1,1,1,0,0,1,0,1,1,1,0.0,-42.57000000000001,1190
2,1,0,1,0,0,1,1,1,1,1,0.0,-40.92,405
3,0,1,0,1,1,0,0,0,0,0,0.0,-40.92,381
4,1,0,1,0,0,1,0,1,1,1,0.0,-35.449999999999996,26
5,0,1,0,1,1,0,1,0,0,0,0.0,-35.449999999999996,27
6,1,1,1,0,1,1,0,1,1,1,0.0,-34.209999999999994,10
7,0,0,0,1,0,0,1,0,0,0,0.0,-34.21,26
8,0,0,1,1,1,0,1,0,0,0,0.0,-32.669999999999995,19
9,1,1,0,0,0,1,0,1,1,1,0.0,-32.67,17
10,1,0,1,0,1,0,1,1,0,0,0.0,-31.20999999999999,62
11,0,1,0,1,0,1,0,0,1,1,0.0,-31.210000000000004,81
12,1,1,0,1,1,0,0,1,0,0,0.0,-30.8,14
13,0,0,1,0,0,1,1,0,1,1,0.0,-30.8,29
14,0,0,0,1,0,1,1,0,1,1,0.0,-28.840000000000003,12
15,1,1,1,0,1,0,0,1,0,0,0.0,-28.839999999999996,7
16,1,0,1,0,0,0,1,1,0,0,0.0,-28.469999999999995,11
17,0,1,0,1,1,1,0,0,1,1,0.0,-28.47,6
18,0,0,0,1,0,1,0,0,1,1,0.0,-28.130000000000003,11
19,1,1,1,0,1,0,1,1,0,0,0.0,-28.129999999999995,6
20,1,0,0,1,1,0,1,1,0,0,0.0,-28.11,10
21,0,1,1,0,0,1,0,0,1,1,0.0,-28.11,10
22,1,1,0,0,1,0,0,1,0,0,0.0,-27.419999999999998,4
23,0,0,1,1,0,1,1,0,1,1,0.0,-27.419999999999998,7
24,0,0,0,1,1,0,0,0,0,0,0.0,-26.779999999999998,1
25,1,0,1,0,0,1,1,1,1,0,0.0,-26.219999999999995,1
26,0,1,0,1,1,0,0,0,0,1,0.0,-26.22,3
27,1,0,0,0,0,1,1,1,1,1,0.0,-25.44,2
28,0,1,1,1,1,0,0,0,0,0,0.0,-25.439999999999998,1
29,0,1,0,1,0,0,0,0,0,0,0.0,-25.020000000000003,1
30,1,0,1,1,1,0,1,1,0,0,0.0,-24.629999999999995,1
31,0,0,0,1,1,0,1,0,0,0,0.1,-42.56999999999999,1
32,0,1,1,1,0,1,0,0,1,1,0.0,-24.21,1
33,1,1,1,0,1,0,1,1,1,0,0.0,-24.069999999999997,3
34,0,0,0,1,0,1,0,0,0,1,0.0,-24.070000000000004,1
35,0,0,1,1,0,1,0,0,1,1,0.0,-23.57,2
36,1,1,0,0,1,0,1,1,0,0,0.0,-23.569999999999993,1
37,1,1,0,1,0,1,0,1,1,1,0.0,-23.51,4
38,1,1,1,0,0,1,0,1,1,0,0.0,-23.31,2
39,0,0,0,1,1,0,1,0,0,1,0.0,-23.309999999999988,3
40,1,1,1,1,0,1,0,1,1,1,0.0,-22.930000000000007,2
41,1,1,0,0,0,1,0,0,1,1,0.0,-22.880000000000003,1
42,0,0,0,0,0,1,1,0,1,1,0.0,-21.740000000000002,1
43,0,1,0,1,1,0,0,0,1,1,0.0,-21.160000000000004,1
44,1,1,0,1,1,1,0,1,1,1,0.0,-20.37,1
45,1,0,0,1,0,0,1,1,0,0,0.0,-20.149999999999995,1
46,0,1,0,1,1,0,0,0,0,0,0.1,-40.92,1
47,1,1,1,0,0,1,0,1,1,1,0.1,-42.57000000000001,1
48,1,1,1,0,1,1,0,1,1,0,0.0,-16.549999999999997,1
49,1,1,0,0,1,0,1,1,1,0,0.0,-13.549999999999997,1
50,1,1,1,0,1,0,1,1,0,0,0.1,-28.129999999999995,1
51,1,1,1,0,0,1,1,1,1,1,0.2,-26.779999999999998,1
