,x_0,x_1,x_10,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,0,0,1,1,1,1,1,0,1,1,0.0,-44.44,1028
1,1,1,1,0,0,0,0,0,1,0,0,0.0,-44.44,671
2,0,0,1,1,1,1,1,1,0,1,1,0.0,-43.76,792
3,1,1,0,0,0,0,0,0,1,0,0,0.0,-43.76,597
4,1,1,1,0,1,0,0,0,1,0,0,0.0,-41.21,85
5,0,0,0,1,0,1,1,1,0,1,1,0.0,-41.209999999999994,247
6,1,1,0,0,1,0,0,0,1,0,0,0.0,-40.65,91
7,0,0,1,1,0,1,1,1,0,1,1,0.0,-40.649999999999984,191
8,0,1,0,0,1,0,0,0,0,0,0,0.0,-37.18,15
9,1,0,1,1,0,1,1,1,1,1,1,0.0,-37.17999999999999,21
10,1,1,1,0,0,1,0,0,1,1,0,0.0,-36.16,5
11,0,0,0,1,1,0,1,1,0,0,1,0.0,-36.16,71
12,0,0,0,1,1,1,0,1,0,1,1,0.0,-35.22,12
13,1,1,1,0,0,0,1,0,1,0,0,0.0,-35.22,5
14,1,1,1,0,0,0,0,0,1,1,0,0.0,-34.79,9
15,0,0,0,1,1,1,1,1,0,0,1,0.0,-34.79,34
16,0,0,1,1,1,0,1,1,0,0,1,0.0,-34.49999999999999,30
17,1,0,1,1,0,1,1,0,1,1,0,0.0,-33.989999999999995,2
18,0,1,0,0,1,0,0,1,0,0,1,0.0,-33.989999999999995,7
19,0,0,1,1,1,1,1,1,0,0,1,0.0,-33.169999999999995,14
20,1,1,1,1,0,0,1,0,1,0,0,0.0,-30.560000000000002,2
21,0,0,0,1,1,0,1,1,0,1,1,0.0,-30.35,4
22,1,1,0,1,0,0,0,0,1,0,0,0.0,-30.34,2
23,0,0,1,0,1,1,1,1,0,1,1,0.0,-30.339999999999996,3
24,0,0,0,1,0,1,1,1,0,0,1,0.0,-30.14,5
25,1,1,1,0,1,0,0,0,1,1,0,0.0,-30.139999999999997,1
26,1,1,0,1,0,1,0,0,1,1,0,0.0,-30.1,3
27,0,0,1,0,1,0,1,1,0,0,1,0.0,-30.099999999999994,7
28,1,0,1,1,0,0,1,0,1,1,0,0.0,-29.76,4
29,0,0,1,1,1,0,1,1,0,1,1,0.0,-29.629999999999995,3
30,1,0,0,1,0,1,1,1,0,1,1,0.0,-29.52000000000001,1
31,0,1,1,0,1,0,0,0,1,0,0,0.0,-29.519999999999996,3
32,1,0,1,0,0,0,1,0,1,0,0,0.0,-28.89,1
33,0,0,1,1,0,1,1,1,0,0,1,0.0,-28.639999999999993,2
34,1,1,1,1,0,1,0,0,1,1,0,0.0,-28.52,1
35,0,0,0,0,1,0,1,1,0,0,1,0.0,-28.519999999999996,1
36,1,0,1,1,0,0,1,0,1,0,0,0.0,-27.990000000000002,2
37,0,0,1,0,0,1,1,1,0,1,1,0.0,-27.89,1
38,1,1,0,1,1,0,0,0,1,0,0,0.0,-27.89,3
39,1,1,1,1,0,0,0,0,1,0,0,0.0,-27.779999999999994,2
40,0,0,0,0,1,1,1,1,0,1,1,0.0,-27.780000000000005,1
41,0,0,0,1,1,1,1,1,0,1,1,0.09090909090909091,-44.44,1
42,0,0,1,1,1,1,1,1,0,1,1,0.09090909090909091,-43.76,1
43,1,0,1,1,0,1,1,1,0,1,1,0.0,-26.520000000000007,1
44,0,0,1,1,1,0,1,0,0,0,0,0.0,-25.75,5
45,1,1,1,1,1,0,0,0,1,0,0,0.0,-25.21,1
46,0,0,0,0,1,0,0,1,0,0,1,0.0,-25.159999999999997,1
47,0,1,1,0,0,0,0,0,1,0,0,0.0,-24.85,1
48,0,0,1,1,1,1,1,1,0,1,1,0.09090909090909091,-43.76,1
49,0,0,0,1,0,0,1,1,0,0,1,0.0,-23.67,1
50,0,1,1,0,1,0,0,1,0,0,1,0.0,-23.029999999999994,1
51,1,0,0,1,0,1,1,0,1,1,0,0.0,-23.029999999999998,1
52,1,1,1,0,0,0,0,0,1,0,0,0.09090909090909091,-44.44,1
53,1,1,0,1,0,1,0,1,1,1,1,0.0,-22.930000000000003,1
54,1,1,0,0,0,0,0,0,1,0,0,0.09090909090909091,-43.76,1
55,1,1,1,0,0,0,0,0,1,0,0,0.09090909090909091,-44.44,1
56,0,1,1,1,1,0,1,1,0,0,1,0.0,-18.97,1
57,0,0,0,0,1,0,1,0,0,0,0,0.0,-17.97,1
