,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,0,1,0,1,1,0,0.0,-16.8,1313
1,1,0,1,0,0,1,0.0,-16.8,1366
2,0,0,1,0,0,1,0.0,-15.79,576
3,1,1,0,1,1,0,0.0,-15.79,326
4,1,0,1,0,1,1,0.0,-12.670000000000003,56
5,0,1,0,1,0,0,0.0,-12.670000000000002,65
6,1,0,0,0,0,1,0.0,-12.600000000000001,74
7,0,1,1,1,1,0,0.0,-12.600000000000003,58
8,1,0,0,0,1,1,0.0,-12.230000000000002,57
9,0,1,1,1,0,0,0.0,-12.230000000000002,76
10,0,0,1,0,1,1,0.0,-10.58,6
11,1,1,0,1,0,0,0.0,-10.579999999999998,8
12,0,0,0,0,0,1,0.0,-6.01,2
13,1,1,0,1,1,1,0.0,-3.659999999999998,1
14,0,0,1,0,0,0,0.0,-3.66,1
15,0,1,1,1,0,1,0.0,-2.7200000000000024,2
16,1,0,0,0,1,0,0.0,-2.72,2
17,1,0,1,0,0,1,0.16666666666666666,-16.8,1
18,1,1,0,0,1,1,0.0,-1.390000000000001,1
19,1,1,1,1,0,1,0.0,-0.8299999999999983,1
20,1,0,0,0,0,0,0.0,-0.81,2
21,0,1,1,1,0,0,0.16666666666666666,-12.230000000000002,1
22,1,0,1,0,0,0,0.0,1.1099999999999994,1
23,1,1,0,1,1,1,0.16666666666666666,-3.659999999999998,1
24,1,0,1,0,1,0,0.0,2.959999999999999,1
25,0,1,0,1,0,1,0.0,2.960000000000001,1
26,0,1,1,1,1,1,0.16666666666666666,-0.8100000000000036,1
