,x_0,x_1,x_2,x_3,x_4,x_5,x_6,chain_break_fraction,energy,num_occurrences
0,1,0,0,0,0,1,1,0.0,-28.19,1128
1,0,1,1,1,1,0,0,0.0,-28.19,1633
2,1,0,0,0,1,1,1,0.0,-27.01,463
3,0,1,1,1,0,0,0,0.0,-27.01,722
4,0,0,0,0,0,1,1,0.0,-22.43,13
5,1,1,1,1,1,0,0,0.0,-22.430000000000003,14
6,1,1,1,1,0,0,0,0.0,-20.17,2
7,0,0,0,0,1,1,1,0.0,-20.17,1
8,1,0,0,0,0,1,0,0.0,-19.52,4
9,0,1,1,1,1,0,1,0.0,-19.520000000000003,8
10,0,1,1,1,0,0,1,0.0,-17.680000000000003,2
11,1,0,0,0,1,1,0,0.0,-17.68,1
12,0,0,1,1,1,0,0,0.14285714285714285,-9.18,1
13,0,1,1,1,1,0,0,0.14285714285714285,-28.19,1
14,0,1,1,1,0,0,0,0.14285714285714285,-27.01,1
15,1,0,0,0,0,1,1,0.14285714285714285,-28.19,1
16,0,1,1,0,0,0,1,0.0,-11.790000000000003,1
17,1,1,1,0,0,0,0,0.0,-11.700000000000003,1
18,1,1,1,0,0,0,1,0.0,-11.190000000000005,1
19,0,1,1,1,1,0,0,0.14285714285714285,-28.19,1
20,1,1,1,0,0,1,1,0.0,-8.510000000000005,1
