,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,0,0,1,1,0,1,1,1,0.0,-66.82000000000002,933
1,1,0,1,1,0,0,1,0,0,0,0.0,-66.82000000000001,740
2,0,1,0,0,1,1,0,0,1,1,0.0,-66.57000000000001,1006
3,1,0,1,1,0,0,1,1,0,0,0.0,-66.57000000000001,799
4,1,0,0,1,0,0,1,0,1,0,0.0,-58.78,42
5,0,1,1,0,1,1,0,1,0,1,0.0,-58.78000000000001,64
6,0,1,1,0,1,1,0,1,1,1,0.0,-58.48000000000002,46
7,1,0,0,1,0,0,1,0,0,0,0.0,-58.480000000000004,41
8,0,1,0,0,1,1,0,1,0,1,0.0,-57.76000000000001,38
9,1,0,1,1,0,0,1,0,1,0,0.0,-57.760000000000005,14
10,0,1,0,0,1,0,0,1,1,1,0.0,-56.570000000000014,40
11,1,0,1,1,0,1,1,0,0,0,0.0,-56.56999999999999,16
12,1,0,1,1,0,1,1,1,0,0,0.0,-56.33999999999999,23
13,0,1,0,0,1,0,0,0,1,1,0.0,-56.34000000000001,36
14,1,0,1,1,0,0,1,1,0,1,0.0,-55.74,28
15,0,1,0,0,1,1,0,0,1,0,0.0,-55.74,29
16,1,0,1,1,0,1,1,0,1,0,0.0,-54.389999999999986,5
17,0,1,0,0,1,0,0,1,0,1,0.0,-54.39000000000001,21
18,1,0,1,1,0,0,1,1,1,0,0.0,-53.61000000000001,5
19,0,1,0,0,1,1,0,0,0,1,0.0,-53.61,9
20,1,0,1,1,1,0,1,0,0,0,0.0,-53.51999999999998,4
21,0,1,0,0,0,1,0,1,1,1,0.0,-53.52000000000001,2
22,1,1,0,0,1,1,0,0,1,1,0.0,-52.38,6
23,0,0,1,1,0,0,1,1,0,0,0.0,-52.379999999999995,9
24,0,1,1,0,1,0,0,1,0,1,0.0,-51.550000000000004,7
25,1,0,0,1,0,1,1,0,1,0,0.0,-51.55,1
26,0,1,0,0,1,0,0,0,0,1,0.0,-50.260000000000005,5
27,1,0,1,1,0,1,1,1,1,0,0.0,-50.26,2
28,0,1,0,0,1,1,0,1,1,0,0.0,-50.250000000000014,2
29,1,0,1,1,0,0,1,0,0,1,0.0,-50.25,3
30,1,1,0,0,1,0,0,0,1,1,0.0,-47.93,1
31,0,1,1,0,1,1,0,0,1,1,0.1,-43.330000000000005,1
32,0,1,0,0,1,1,0,0,0,0,0.0,-46.160000000000004,1
33,1,1,0,0,1,0,0,0,0,1,0.0,-46.129999999999995,1
34,0,1,0,0,0,1,1,1,1,0,0.0,-45.70000000000002,3
35,1,0,1,1,1,0,0,0,0,1,0.0,-45.699999999999996,1
36,0,1,0,0,0,1,0,1,1,1,0.1,-53.52000000000001,1
37,0,1,0,0,1,1,0,1,0,0,0.0,-44.570000000000014,1
38,1,0,1,1,0,0,1,0,1,1,0.0,-44.57000000000001,1
39,0,1,1,0,1,0,0,1,1,1,0.0,-44.370000000000005,1
40,1,1,0,0,1,1,0,0,0,1,0.0,-43.69999999999999,1
41,0,0,1,1,0,0,1,1,1,0,0.0,-43.69999999999999,1
42,0,0,0,0,1,1,0,0,1,0,0.0,-43.39000000000001,1
43,0,1,0,0,1,1,0,1,1,1,0.1,-66.82000000000002,1
44,0,1,0,0,0,1,0,1,0,1,0.0,-37.46,1
45,0,0,0,0,1,1,0,1,1,1,0.0,-36.85000000000001,1
46,0,1,0,0,1,0,0,0,1,0,0.0,-36.71000000000001,1
47,0,1,0,0,0,1,0,0,1,1,0.0,-35.550000000000004,3
48,1,0,1,1,0,0,1,1,0,0,0.1,-66.57000000000001,1
49,1,0,0,0,0,1,1,0,0,0,0.0,-30.73,1
