,x_0,x_1,x_10,x_11,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,1,0,0,0,1,1,1,0,0,0,0,0,0.0,-55.27999999999999,462
1,0,1,1,1,0,0,0,1,1,1,1,1,0.0,-55.27999999999999,1132
2,0,1,1,1,1,1,0,1,0,1,1,1,0.0,-53.50999999999999,256
3,1,0,0,0,0,0,1,0,1,0,0,0,0.0,-53.510000000000005,247
4,0,1,1,1,0,0,1,1,1,1,1,1,0.0,-52.540000000000006,799
5,1,0,0,0,1,1,0,0,0,0,0,0,0.0,-52.54,354
6,0,1,1,0,1,1,0,1,0,1,1,0,0.0,-50.059999999999995,146
7,1,0,0,1,0,0,1,0,1,0,0,1,0.0,-50.06000000000001,71
8,0,1,1,1,0,0,0,1,0,1,1,1,0.0,-47.02,30
9,1,0,0,0,1,1,1,0,1,0,0,0,0.0,-47.01999999999998,10
10,1,0,0,0,1,1,0,0,1,0,1,0,0.0,-46.72000000000001,34
11,0,1,1,1,0,0,1,1,0,1,0,1,0.0,-46.72,135
12,1,0,0,0,0,0,1,0,1,0,0,1,0.0,-46.63000000000001,15
13,0,1,1,1,1,1,0,1,0,1,1,0,0.0,-46.629999999999995,23
14,0,1,1,1,0,1,0,1,0,1,1,1,0.0,-45.49000000000001,19
15,1,0,0,0,1,0,1,0,1,0,0,0,0.0,-45.489999999999995,3
16,0,1,1,0,1,1,0,1,0,1,1,1,0.0,-42.76,9
17,1,0,0,1,0,0,1,0,1,0,0,0,0.0,-42.760000000000005,7
18,0,1,1,0,1,0,0,1,0,1,1,0,0.0,-41.83,4
19,1,0,0,1,0,1,1,0,1,0,0,1,0.0,-41.83,2
20,1,0,0,0,1,1,0,0,0,0,0,1,0.0,-41.51999999999999,13
21,0,1,1,1,0,0,1,1,1,1,1,0,0.0,-41.519999999999996,47
22,0,1,1,1,0,0,1,1,0,1,1,1,0.0,-41.44,12
23,1,0,0,0,1,1,0,0,1,0,0,0,0.0,-41.440000000000005,4
24,1,1,0,0,1,1,0,0,1,0,1,0,0.0,-40.78000000000001,4
25,0,0,1,1,0,0,1,1,0,1,0,1,0.0,-40.779999999999994,10
26,1,1,1,1,0,0,0,1,1,1,1,1,0.0,-40.69,4
27,0,0,0,0,1,1,1,0,0,0,0,0,0.0,-40.69,5
28,1,0,0,0,1,1,0,0,0,0,1,0,0.0,-40.38,5
29,0,1,1,1,0,0,1,1,1,1,0,1,0.0,-40.38000000000001,4
30,1,0,0,0,1,1,1,0,0,0,0,1,0.0,-40.359999999999985,4
31,0,1,1,1,0,0,0,1,1,1,1,0,0.0,-40.35999999999999,19
32,1,0,0,0,0,1,1,0,1,0,0,0,0.0,-40.14,1
33,1,1,0,0,1,1,0,0,0,0,1,0,0.0,-38.78000000000001,3
34,0,0,1,1,0,0,1,1,1,1,0,1,0.0,-38.779999999999994,3
35,1,0,1,0,1,0,0,1,1,0,1,0,0.0,-37.96000000000001,7
36,0,1,0,1,0,1,1,0,0,1,0,1,0.0,-37.959999999999994,5
37,0,1,1,1,0,0,0,1,0,1,1,1,0.08333333333333333,-47.02,1
38,1,0,0,0,1,0,0,1,1,0,1,0,0.0,-37.38000000000001,1
39,0,1,1,1,0,1,1,0,0,1,0,1,0.0,-37.379999999999995,3
40,0,1,1,1,0,1,1,1,0,1,1,1,0.0,-37.349999999999994,4
41,1,0,0,0,1,0,0,0,1,0,0,0,0.0,-37.35,2
42,1,0,0,0,1,0,0,1,1,0,0,0,0.0,-37.260000000000005,4
43,0,1,1,1,0,0,1,1,0,1,0,1,0.08333333333333333,-46.72,2
44,1,0,0,0,1,1,0,0,1,0,1,0,0.08333333333333333,-46.72000000000001,1
45,0,1,1,1,0,1,0,0,0,1,1,1,0.0,-36.6,1
46,1,0,0,0,1,0,1,1,1,0,0,0,0.0,-36.6,3
47,0,1,1,1,0,1,0,1,1,1,1,1,0.0,-36.029999999999994,2
48,0,1,1,1,1,1,1,1,0,1,1,1,0.0,-36.009999999999984,6
49,1,0,0,0,0,0,0,0,1,0,0,0,0.0,-36.010000000000005,3
50,1,0,0,0,0,0,1,1,1,0,0,1,0.0,-35.760000000000005,2
51,1,1,0,1,1,1,0,0,1,0,1,0,0.0,-35.43000000000001,1
52,0,0,1,0,0,0,1,1,0,1,0,1,0.0,-35.43,1
53,1,0,0,0,0,1,1,0,0,0,0,1,0.0,-35.22,1
54,1,1,1,1,1,1,0,1,0,1,1,1,0.0,-35.2,1
55,0,1,1,1,0,0,0,1,0,1,0,1,0.0,-35.019999999999996,3
56,0,1,0,1,0,1,0,0,0,1,1,1,0.0,-34.98,1
57,1,0,1,0,1,0,1,1,1,0,0,0,0.0,-34.98,3
58,0,1,1,0,0,0,1,1,0,1,0,1,0.0,-33.99,1
59,0,1,1,0,1,1,1,1,0,1,1,0,0.0,-33.07999999999999,1
60,0,0,1,0,0,0,1,1,0,1,0,0,0.0,-32.93,3
61,1,1,0,1,1,1,0,0,1,0,1,1,0.0,-32.92999999999999,2
62,1,0,0,0,0,0,1,1,1,0,0,0,0.0,-32.86,1
63,0,1,0,1,1,1,0,0,0,1,1,1,0.0,-32.64,2
64,0,1,1,0,0,0,0,1,1,1,1,1,0.0,-32.089999999999996,2
65,0,0,1,0,1,0,1,1,0,1,0,0,0.0,-31.45,2
66,1,1,0,1,0,1,0,0,1,0,1,1,0.0,-31.450000000000003,1
67,1,1,1,0,1,1,0,1,0,1,1,1,0.0,-31.230000000000004,1
68,0,1,0,1,0,0,0,1,1,1,1,1,0.0,-30.999999999999993,3
69,1,0,1,0,0,0,1,0,1,0,0,0,0.0,-30.91,1
70,0,1,1,1,0,0,1,1,1,1,1,0,0.08333333333333333,-41.519999999999996,1
71,1,0,0,0,1,1,1,0,0,0,0,0,0.08333333333333333,-55.27999999999999,1
72,0,1,1,1,0,0,0,1,1,1,1,1,0.08333333333333333,-55.27999999999999,1
73,0,1,1,0,0,0,1,1,1,1,1,0,0.0,-29.130000000000006,2
74,0,0,1,0,1,0,1,1,0,0,0,0,0.0,-28.009999999999998,1
75,0,1,1,1,0,1,0,0,1,1,1,1,0.0,-27.259999999999998,1
76,1,1,1,0,1,1,0,1,0,1,1,0,0.0,-25.870000000000005,2
77,1,0,1,0,1,0,1,1,1,0,1,0,0.0,-25.760000000000005,1
78,1,0,0,1,0,1,1,0,1,0,0,1,0.08333333333333333,-41.83,1
79,0,1,0,1,0,0,1,1,0,1,0,1,0.0,-24.939999999999998,1
80,1,0,0,0,1,1,0,1,0,0,0,0,0.0,-24.589999999999993,1
81,1,0,0,0,1,1,1,1,0,0,0,0,0.08333333333333333,-18.52999999999998,2
82,0,1,1,1,0,0,0,0,1,1,1,1,0.08333333333333333,-18.529999999999994,1
83,1,0,0,0,0,0,0,1,1,0,0,0,0.0,-24.16,1
84,0,0,1,1,0,0,0,1,0,1,0,1,0.0,-22.700000000000003,1
85,0,1,0,1,1,1,0,0,0,1,1,0,0.0,-22.28,1
86,1,0,0,0,1,1,1,0,0,0,0,0,0.08333333333333333,-55.27999999999999,1
87,0,0,1,1,0,0,0,1,1,1,0,1,0.0,-17.86,1
88,1,0,0,0,0,0,1,0,1,0,0,0,0.08333333333333333,-53.510000000000005,1
89,1,1,1,0,1,1,0,1,1,0,1,0,0.0,-16.849999999999994,1
90,0,1,1,1,0,1,1,0,0,1,1,1,0.08333333333333333,-37.25999999999999,1
91,1,1,0,0,1,1,1,0,1,0,0,0,0.0,-12.840000000000007,1
92,0,1,1,1,0,0,1,1,1,0,1,0,0.08333333333333333,-0.41999999999999993,1
