,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,chain_break_fraction,energy,num_occurrences
0,0,1,0,1,0,1,0,1,0.0,-32.98,1999
1,1,0,1,0,1,0,1,0,0.0,-32.980000000000004,1663
2,1,0,1,0,0,0,1,0,0.0,-26.59,63
3,0,1,0,1,1,1,0,1,0.0,-26.589999999999996,89
4,0,1,0,0,0,1,0,1,0.0,-24.200000000000003,54
5,1,0,1,1,1,0,1,0,0.0,-24.200000000000003,45
6,0,1,1,1,0,1,0,1,0.0,-22.609999999999996,16
7,1,0,0,0,1,0,1,0,0.0,-22.610000000000003,19
8,1,0,0,1,1,0,1,0,0.0,-20.21,2
9,0,1,1,0,0,1,0,1,0.0,-20.21,1
10,1,0,1,0,0,1,1,0,0.0,-19.94,10
11,0,1,0,1,1,0,0,1,0.0,-19.939999999999998,11
12,0,1,1,1,1,0,1,1,0.0,-17.39,2
13,1,0,0,0,0,1,0,0,0.0,-17.39,1
14,1,0,1,0,1,1,1,0,0.0,-16.970000000000002,2
15,0,1,0,1,0,0,0,1,0.0,-16.97,2
16,0,0,0,0,1,1,0,0,0.0,-14.620000000000001,2
17,1,1,1,1,0,0,1,1,0.0,-14.62,3
18,1,1,0,1,1,0,1,0,0.0,-14.379999999999999,1
19,1,1,1,1,0,1,1,1,0.0,-14.12999999999999,2
20,1,0,0,0,0,0,0,0,0.0,-13.32,2
21,0,1,1,1,0,1,1,1,0.0,-12.389999999999995,1
22,1,0,0,0,1,0,0,0,0.0,-12.390000000000002,1
23,1,1,0,1,0,1,0,1,0.125,-8.219999999999997,1
24,1,1,1,0,1,0,1,0,0.0,-10.209999999999999,1
25,0,0,0,1,0,1,0,1,0.0,-10.209999999999999,1
26,0,0,0,0,0,1,0,0,0.0,-9.85,2
27,0,1,0,1,0,1,0,1,0.125,-32.98,1
28,0,1,0,1,0,1,0,1,0.125,-32.98,1
29,1,0,1,0,1,0,1,0,0.125,-32.980000000000004,1
30,0,0,0,1,0,1,0,0,0.0,8.930000000000001,1
