,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,chain_break_fraction,energy,num_occurrences
0,0,1,0,0,1,1,0,0,1,1,0.0,-191.56999999999994,1264
1,1,0,1,1,0,0,1,1,0,0,0.0,-191.57000000000002,534
2,1,0,1,1,0,0,1,0,0,0,0.0,-186.82,248
3,0,1,0,0,1,1,0,1,1,1,0.0,-186.81999999999996,747
4,1,0,1,1,0,0,1,0,1,0,0.0,-182.75999999999996,230
5,0,1,0,0,1,1,0,1,0,1,0.0,-182.76,322
6,1,0,1,1,0,1,1,0,0,0,0.0,-181.57000000000002,17
7,0,1,0,0,1,0,0,1,1,1,0.0,-181.57,121
8,1,0,0,1,0,0,1,0,1,0,0.0,-178.78,58
9,0,1,1,0,1,1,0,1,0,1,0.0,-178.78,79
10,1,0,1,1,1,0,1,0,0,0,0.0,-178.52,9
11,0,1,0,0,0,1,0,1,1,1,0.0,-178.51999999999998,20
12,1,0,0,1,0,1,1,0,1,0,0.0,-176.54999999999998,30
13,0,1,1,0,1,0,0,1,0,1,0.0,-176.55,61
14,1,0,1,1,0,1,1,1,0,0,0.0,-176.34000000000003,4
15,0,1,0,0,1,0,0,0,1,1,0.0,-176.33999999999997,8
16,0,1,0,0,1,1,0,0,1,0,0.0,-175.73999999999995,17
17,1,0,1,1,0,0,1,1,0,1,0.0,-175.74,8
18,0,1,0,0,1,1,0,1,1,0,0.0,-175.24999999999997,33
19,1,0,1,1,0,0,1,0,0,1,0.0,-175.24999999999997,4
20,0,1,0,0,1,0,0,1,0,1,0.0,-174.39000000000001,38
21,1,0,1,1,0,1,1,0,1,0,0.0,-174.39000000000001,10
22,1,0,1,1,0,0,1,1,1,0,0.0,-173.61,6
23,0,1,0,0,1,1,0,0,0,1,0.0,-173.60999999999996,10
24,1,1,0,0,1,0,0,0,1,1,0.0,-172.92999999999998,14
25,0,0,1,1,0,1,1,1,0,0,0.0,-172.93,5
26,0,1,0,0,1,1,0,1,1,1,0.1,-186.81999999999996,3
27,1,0,1,1,0,0,1,0,0,0,0.1,-186.82,1
28,1,1,0,0,1,1,0,0,1,1,0.0,-172.37999999999994,15
29,0,0,1,1,0,0,1,1,0,0,0.0,-172.38000000000002,4
30,1,0,1,1,1,0,0,0,0,1,0.0,-170.69999999999996,9
31,0,1,0,0,0,1,1,1,1,0,0.0,-170.70000000000002,9
32,1,1,0,0,1,1,0,0,0,1,0.0,-168.69999999999996,12
33,0,0,1,1,0,0,1,1,1,0,0.0,-168.7,3
34,1,0,1,1,0,0,1,0,1,0,0.1,-182.75999999999996,1
35,0,1,0,0,0,1,0,1,1,0,0.0,-166.23,3
36,1,1,0,0,1,0,0,0,0,1,0.0,-166.13,4
37,1,0,0,1,0,0,1,1,1,0,0.0,-164.73000000000002,1
38,0,1,0,0,1,1,0,1,0,0,0.0,-164.57,2
39,1,0,0,1,0,0,1,0,1,0,0.1,-178.78,1
40,0,1,1,0,1,0,0,1,1,1,0.0,-164.36999999999998,4
41,0,1,1,0,1,1,0,1,1,1,0.0,-163.48,2
42,1,1,0,0,1,1,0,0,1,1,0.1,-172.37999999999994,1
43,0,0,0,1,0,1,1,1,1,0,0.0,-163.37,2
44,0,1,1,0,1,1,0,0,1,1,0.0,-163.32999999999998,1
45,1,1,1,1,1,0,0,0,0,1,0.0,-163.23,3
46,0,0,0,0,0,1,1,1,1,0,0.0,-163.23,1
47,0,0,1,0,1,0,0,1,1,1,0.0,-162.98,1
48,0,0,0,0,1,1,0,1,1,0,0.0,-162.33999999999997,1
49,0,0,0,0,1,1,0,1,1,1,0.0,-161.84999999999997,1
50,0,1,0,1,1,1,0,0,1,0,0.0,-161.75999999999996,1
51,1,0,1,1,1,0,0,0,1,1,0.0,-161.07999999999993,2
52,0,1,0,0,0,0,0,1,1,1,0.0,-160.70999999999998,1
53,1,1,0,0,0,1,1,0,1,0,0.0,-160.36,1
54,1,0,1,1,0,0,1,0,0,0,0.1,-186.82,1
55,0,1,0,1,1,0,0,0,1,1,0.0,-160.11999999999998,1
56,1,0,0,0,1,0,0,0,1,1,0.0,-159.29999999999998,1
57,0,1,0,1,1,1,0,0,1,1,0.0,-158.96999999999994,1
58,0,1,1,0,1,1,0,1,0,0,0.0,-158.83,1
59,1,1,1,1,1,0,0,0,0,1,0.1,-163.23,1
60,0,1,0,0,0,1,1,1,1,1,0.0,-155.71,1
61,1,0,1,1,0,0,1,0,0,0,0.1,-186.82,1
62,0,0,1,0,0,1,1,1,1,0,0.0,-154.12999999999997,1
63,1,0,0,0,1,1,0,0,1,1,0.0,-153.82999999999996,1
64,1,0,1,1,0,0,1,1,0,0,0.1,-191.57000000000002,1
65,0,1,0,0,1,1,0,0,1,1,0.1,-191.56999999999994,1
66,0,1,0,0,1,1,0,1,1,1,0.1,-186.81999999999996,1
