,x_0,x_1,x_2,x_3,x_4,x_5,chain_break_fraction,energy,num_occurrences
0,1,0,0,1,1,0,0.0,-75.73,1540
1,0,1,1,0,0,1,0.0,-75.72999999999999,1352
2,0,0,0,1,1,0,0.0,-73.52,376
3,1,1,1,0,0,1,0.0,-73.52,501
4,0,0,0,1,1,1,0.0,-70.14,24
5,1,1,1,0,0,0,0.0,-70.14,152
6,1,0,1,1,0,0,0.0,-64.31,17
7,0,1,0,0,1,1,0.0,-64.31,13
8,1,0,0,1,0,0,0.0,-63.050000000000004,4
9,0,1,1,0,1,1,0.0,-63.04999999999998,10
10,1,0,1,1,1,0,0.0,-60.209999999999994,2
11,1,0,0,1,0,1,0.0,-58.33000000000001,2
12,0,1,1,0,1,0,0.0,-58.329999999999984,2
13,0,1,1,0,0,0,0.0,-56.56999999999999,1
14,1,0,1,0,0,1,0.0,-55.09,1
15,0,1,1,1,1,0,0.0,-46.11,2
16,1,0,0,1,1,1,0.16666666666666666,-56.57000000000001,1
